,Indicator,year,Indicator_no,Total_pregnant_women_registered_ANC,Total_registered_within_first_trimester,Total_registered_under_JSY,Perc_1st_Trimester_regis_to_Total_ANC_regis,Perc_JSY_regis_total_ANC_regis,Total_received_3_ANC_check_ups,Booster_given_numbers,Perc_received_3_ANC_check_ups_to_Total_ANC_regis,Perc_received_Booster_to_Total_ANC_regis,Total_given_100_IFA_tablets,Perc_given_100_IFA_to_Total_ANC_regis,Number_having_Hb_level_11_tested_cases,Number_having_severe_anaemia_Hb_7_treated_at_institutin,Perc_having_severe_anaemia_Hb7_treated_at_institution_to_women_having_hb_level_11,Perc_New_cases_detected_at_institution_for_hypertension_to_Total_ANC_regis,Total_home_deliveries,home_deliveries_attended_by_SBA_trained_Doctor_Nurse,home_deliveries_attended_by_Non_SBA_trained,Perc_SBA_attended_home_deliveries_to_Total_Reported_Home_Deliveries,Mothers_paid_JSY_incentive_for_home_deliveries,Perc_Mothers_paid_JSY_incentive_for_home_deliveries_to_Total_Reported_Home_Deliveries,Deliveries_Conducted_at_Public_Institutions,Institutional_deliveries_Public_Insts_Pvt_Insts,Perc_Institutional_Deliveries_to_total_ANC_registration,Total_reported_deliveries,Perc_Institutional_deliveries_to_Total_Reported_Deliveries,Perc_Safe_deliveries_to_Total_Reported_Deliveries,Perc_Home_deliveries_to_Total_Reported_Deliveries,Number_of_C_section_deliveries_conducted_at_public_facilities,Number_of_C_section_deliveries_conducted_at_private_facilities,Perc_C_section_deliveries_institutional_to_reported_institutional_deliveries,Perc_C_sections_conducted_at_public_facilities_to_Deliveries_conducted_at_public_facilities,Perc_C_sections_conducted_at_Private_facilities_to_Deliveries_conducted_at_private_facilities,Perc_Deliveries_conducted_at_Public_Institutions_to_Total_Institutional_Deliveries,Perc_Deliveries_conducted_at_Private_Institutions_to_Total_Institutional_Deliveries,Total_reported_live_births,Perc_Total_Live_Births_to_Total_Deliveries,Total_Number_of_reported_Still_Births,Perc_Live_birth_to_Reported.Birth,Number_of_Newborns_weighed_at_birth,Perc_Newborns_weighed_at_birth_to_live_birth,Number_of_Newborns_having_weight_less_than_2.5.kg,Perc_Newborns_having_weight_less_than_2.5.kg_to_Newborns_weighed_at_birth
2611,Venpakal CHC Area,2015-16,12,754,644,741,85.4,98.3,631,249,83.7,33,623,82.6,21,0,0,0.4,0,0,0,NA,0,NA,0,86,11.4,86,100,100,0,0,28,32.6,NA,32.6,0,100,86,100,0,100,86,100,1,1.2
2621,Vilappil CHC Area,2015-16,12,3780,3322,2691,87.9,71.2,3186,1984,84.3,52.5,2500,66.1,59,0,0,0.7,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2631,Vithura CHC Area,2015-16,12,1334,1146,1123,85.9,84.2,1280,683,96,51.2,1191,89.3,13,0,0,0.1,2,0,2,0,0,0,2,2,0.1,4,50,50,50,0,0,0,0,NA,100,0,4,100,0,100,4,100,1,25
2641,Vizhinjam CHC Area,2015-16,12,1524,1237,1206,81.2,79.1,1424,464,93.4,30.4,1433,94,19,0,0,0.9,0,0,0,NA,0,NA,0,10,0.7,10,100,100,0,0,4,40,NA,40,0,100,10,100,0,100,10,100,1,10
2651,Women and Children s Hospital Thycadu,2015-16,12,72,46,70,63.9,97.2,55,3961,76.4,5501.4,2402,3336.1,4006,29,0.7,129.2,NA,NA,NA,NA,NA,NA,6413,8081,1223.6,8081,100,100,0,2065,889,36.6,32.2,53.3,79.4,20.6,8139,100.7,21,99.7,8139,100,955,11.7
2671,Alapad CHCArea,2015-16,13,1411,1177,533,83.4,37.8,1314,452,93.1,32,1026,72.7,7,0,0,0.1,0,0,0,NA,0,NA,0,2,0.1,2,100,100,0,0,1,50,NA,50,0,100,2,100,0,100,2,100,0,0
2681,Aloor BPHCArea,2015-16,13,1498,1272,641,84.9,42.8,1422,757,94.9,50.5,692,46.2,7,0,0,0.3,0,0,0,NA,0,NA,0,983,65.6,983,100,100,0,0,211,21.5,NA,21.5,0,100,978,99.5,6,99.4,978,100,90,9.2
2691,Anandapuram CHCArea,2015-16,13,1599,1319,640,82.5,40,1533,1432,95.9,89.6,389,24.3,30,0,0,0.3,0,0,0,NA,0,NA,0,1746,109.2,1746,100,100,0,0,912,52.2,NA,52.2,0,100,1752,100.3,3,99.8,1752,100,159,9.1
2701,Chelakkara CHCArea,2015-16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2711,Cherpu CHCArea,2015-16,13,0,0,0,NA,NA,0,14,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2721,Elinjipra CHCArea,2015-16,13,1234,1004,417,81.4,33.8,1170,397,94.8,32.2,614,49.8,0,0,NA,0,9,0,9,0,0,0,0,0,0,9,0,0,100,0,NA,NA,NA,NA,NA,NA,9,100,0,100,9,100,3,33.3
2731,Erumapetty CHCArea,2015-16,13,3342,2651,1320,79.3,39.5,3128,1972,93.6,59,1600,47.9,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2741,GH Irinjalakuda,2015-16,13,101,72,35,71.3,34.7,40,64,39.6,63.4,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,447,580,574.3,580,100,100,0,283,94,65,63.3,70.7,77.1,22.9,581,100.2,0,100,581,100,96,16.5
2751,GH THRISSUR,2015-16,13,0,0,0,NA,NA,0,1476,NA,NA,208,NA,566,12,2.1,NA,NA,NA,NA,NA,NA,NA,2807,9728,NA,9728,100,100,0,919,2787,38.1,32.7,40.3,28.9,71.1,9873,101.5,49,99.5,9873,100,1476,14.9
2761,Kadappuram CHCArea,2015-16,13,1415,1070,574,75.6,40.6,1561,261,110.3,18.4,374,26.4,2,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2771,Madavana CHCArea,2015-16,13,1465,1265,512,86.3,34.9,1384,593,94.5,40.5,1006,68.7,4,0,0,0,0,0,0,NA,0,NA,0,58,4,58,100,100,0,0,42,72.4,NA,72.4,0,100,59,101.7,0,100,59,100,4,6.8
2781,Mambra BPHCArea,2015-16,13,1153,991,346,85.9,30,1043,356,90.5,30.9,725,62.9,2,NA,0,0,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,0,0
2791,Mattathur CHCArea,2015-16,13,2834,2503,934,88.3,33,2997,1449,105.8,51.1,1481,52.3,439,34,7.7,0.9,1,0,1,0,0,0,1,704,24.8,705,99.9,99.9,0.1,0,424,60.2,0,60.3,0.1,99.9,707,100.3,1,99.9,706,99.9,64,9.1
2801,Mullasserry CHCArea,2015-16,13,1437,1185,461,82.5,32.1,1445,365,100.6,25.4,27,1.9,10,0,0,1.1,0,0,0,NA,0,NA,0,131,9.1,131,100,100,0,0,79,60.3,NA,60.3,0,100,134,102.3,0,100,133,99.3,28,21.1
2811,Ollur CHCArea,2015-16,13,2402,1855,681,77.2,28.4,2457,1492,102.3,62.1,1202,50,2,0,0,0,1,1,0,100,0,0,0,1684,70.1,1685,99.9,100,0.1,0,627,37.2,NA,37.2,0,100,1692,100.4,7,99.6,1692,100,173,10.2
2821,Pamboor BPHCArea,2015-16,13,826,605,315,73.2,38.1,750,394,90.8,47.7,597,72.3,1,NA,0,0,0,0,0,NA,0,NA,2423,2423,293.3,2423,100,100,0,1076,NA,44.4,44.4,NA,100,0,2463,101.7,0,100,2463,100,249,10.1
2831,Pazhanji CHCArea,2015-16,13,2582,2111,807,81.8,31.3,2369,2268,91.8,87.8,868,33.6,35,0,0,0.1,0,0,0,NA,0,NA,0,3884,150.4,3884,100,100,0,0,1734,44.6,NA,44.6,0,100,3883,100,3,99.9,3883,100,156,4
2841,Perinjanam CHCArea,2015-16,13,2434,2037,1003,83.7,41.2,2299,889,94.5,36.5,266,10.9,0,0,NA,0,1,0,1,0,0,0,0,125,5.1,126,99.2,99.2,0.8,0,48,38.4,NA,38.4,0,100,126,100,0,100,126,100,1,0.8
2851,Puthenchira CHCArea,2015-16,13,672,528,192,78.6,28.6,663,188,98.7,28,589,87.6,0,0,NA,1.5,0,0,0,NA,0,NA,0,126,18.8,126,100,100,0,0,78,61.9,NA,61.9,0,100,125,99.2,2,98.4,125,100,16,12.8
2861,TH Kunnamkulam,2015-16,13,0,0,0,NA,NA,53,1183,NA,NA,1043,NA,167,33,19.8,NA,NA,NA,NA,NA,NA,NA,382,1221,NA,1221,100,100,0,196,579,63.5,51.3,69,31.3,68.7,1225,100.3,0,100,1225,100,130,10.6
2871,THQH Chalakudy,2015-16,13,88,47,39,53.4,44.3,49,1828,55.7,2077.3,1341,1523.9,483,4,0.8,23.9,NA,NA,NA,NA,NA,NA,424,3362,3820.5,3362,100,100,0,234,1635,55.6,55.2,55.7,12.6,87.4,3369,100.2,2,99.9,3369,100,365,10.8
2881,THQH Chavakkad,2015-16,13,382,167,283,43.7,74.1,238,274,62.3,71.7,155,40.6,1316,43,3.3,0,NA,NA,NA,NA,NA,NA,398,1043,273,1043,100,100,0,213,334,52.4,53.5,51.8,38.2,61.8,1050,100.7,0,100,1040,99,126,12.1
2891,THQH Kodungallur,2015-16,13,67,44,67,65.7,100,83,2523,123.9,3765.7,228,340.3,753,130,17.3,28.4,NA,NA,NA,NA,NA,NA,1144,5415,8082.1,5415,100,100,0,561,2335,53.5,49,54.7,21.1,78.9,5458,100.8,4,99.9,5458,100,759,13.9
2901,THQH Wadakanchery,2015-16,13,116,83,103,71.6,88.8,121,480,104.3,413.8,76,65.5,640,21,3.3,1.7,NA,NA,NA,NA,NA,NA,621,1013,873.3,1013,100,100,0,213,182,39,34.3,46.4,61.3,38.7,1020,100.7,0,100,1020,100,63,6.2
2911,Thiruvilwamala CHCArea,2015-16,13,2445,2029,1322,83,54.1,2223,1455,90.9,59.5,472,19.3,568,20,3.5,2.1,3,1,2,33.3,0,0,1,478,19.6,481,99.4,99.6,0.6,0,189,39.5,0,39.6,0.2,99.8,483,100.4,0,100,481,99.6,22,4.6
2921,Tholur CHCArea,2015-16,13,1881,1460,497,77.6,26.4,1592,1677,84.6,89.2,1753,93.2,9,0,0,0,0,0,0,NA,0,NA,0,4828,256.7,4828,100,100,0,0,1701,35.2,NA,35.2,0,100,4886,101.2,2,100,4886,100,306,6.3
2931,Vadakkekad CHCArea,2015-16,13,1618,966,631,59.7,39,1426,300,88.1,18.5,457,28.2,0,0,NA,0,0,0,0,NA,0,NA,0,283,17.5,283,100,100,0,0,87,30.7,NA,30.7,0,100,285,100.7,0,100,285,100,23,8.1
2941,Vatanapilly CHCArea,2015-16,13,1777,1292,765,72.7,43.1,1509,1408,84.9,79.2,3842,216.2,129,0,0,1.8,0,0,0,NA,0,NA,0,709,39.9,709,100,100,0,0,304,42.9,NA,42.9,0,100,712,100.4,3,99.6,712,100,55,7.7
2951,Vellangallur CHCArea,2015-16,13,964,758,374,78.6,38.8,906,585,94,60.7,672,69.7,0,0,NA,0,0,0,0,NA,0,NA,0,765,79.4,765,100,100,0,0,471,61.6,NA,61.6,0,100,772,100.9,2,99.7,772,100,34,4.4
2961,Vellanikkara CHCArea,2015-16,13,2113,1660,828,78.6,39.2,1559,812,73.8,38.4,19,0.9,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2971,Vilvattom BPHCArea,2015-16,13,665,469,296,70.5,44.5,602,535,90.5,80.5,246,37,541,25,4.6,0.9,0,0,0,NA,0,NA,0,1545,232.3,1545,100,100,0,0,598,38.7,NA,38.7,0,100,1545,100,2,99.9,1545,100,83,5.4
2991,CHC MEENANGADY,2015-16,14,3046,2734,2107,89.8,69.2,2781,1579,91.3,51.8,2501,82.1,923,14,1.5,3.1,25,3,22,12,0,0,999,1976,64.9,2001,98.8,98.9,1.2,379,348,36.8,37.9,35.6,50.6,49.4,2007,100.3,11,99.5,2007,100,257,12.8
3001,CHC MEPPADY,2015-16,14,1894,1727,1402,91.2,74,1685,2832,89,149.5,1898,100.2,370,65,17.6,20.9,18,3,15,16.7,0,0,814,4439,234.4,4457,99.6,99.7,0.4,145,795,21.2,17.8,21.9,18.3,81.7,4465,100.2,23,99.5,4465,100,429,9.6
3011,CHC PORUNNANORE,2015-16,14,4297,3709,3102,86.3,72.2,3780,2283,88,53.1,3662,85.2,1610,0,0,1.7,73,3,70,4.1,2,2.7,0,0,0,73,0,4.1,100,0,0,NA,NA,NA,NA,NA,69,94.5,4,94.5,69,100,31,44.9
3021,CHC PULPALLY,2015-16,14,2684,2389,1630,89,60.7,2368,1103,88.2,41.1,2215,82.5,882,2,0.2,1.6,66,2,64,3,2,3,3,15,0.6,81,18.5,21,81.5,0,4,26.7,0,33.3,20,80,81,100,1,98.8,80,98.8,34,42.5
3031,CHC THARIYODE,2015-16,14,1621,1484,952,91.5,58.7,1465,833,90.4,51.4,1414,87.2,446,3,0.7,0.6,18,4,14,22.2,0,0,0,0,0,18,0,22.2,100,0,0,NA,NA,NA,NA,NA,18,100,0,100,17,94.4,11,64.7
3041,MANANTHAVADY,2015-16,14,100,77,95,77,95,85,662,85,662,73,73,1036,120,11.6,17,0,0,0,NA,0,NA,1748,2480,2480,2480,100,100,0,365,240,24.4,20.9,32.8,70.5,29.5,2491,100.4,1,100,2491,100,599,24
3051,SULTHAN BATHERY,2015-16,14,55,49,3,89.1,5.5,50,1841,90.9,3347.3,458,832.7,387,0,0,83.6,0,0,0,NA,0,NA,1297,4194,7625.5,4194,100,100,0,296,1302,38.1,22.8,44.9,30.9,69.1,4231,100.9,21,99.5,4231,100,688,16.3
3061,THQH VYTHIRI,2015-16,14,38,37,68,97.4,178.9,41,77,107.9,202.6,149,392.1,11,0,0,0,0,0,0,NA,0,NA,81,81,213.2,81,100,100,0,14,NA,17.3,17.3,NA,100,0,81,100,1,98.8,81,100,18,22.2
